"","market","stop_ship_acct","customer_state_code","count_customer_nk","Date"
"363","PUBL","Y","NY",4479,"2020-05-06"
"364","PUBL","Y","VT",76,"2020-05-06"
"365","PUBL","N","HI",266,"2020-05-06"
"366","PUBL","N","MT",418,"2020-05-06"
"367","PUBL","Y","OR",104,"2020-05-06"
"368","PUBL",NA,"NJ",857,"2020-05-06"
"369","PUBL",NA,"OH",584,"2020-05-06"
"370","PUBL",NA,"TN",462,"2020-05-06"
"371","PUBL",NA,"WV",61,"2020-05-06"
"372","PUBL",NA,"WA",186,"2020-05-06"
"373","PUBL",NA,"AP",6,"2020-05-06"
"374","PUBL",NA,"ON",1,"2020-05-06"
"375","PUBL","N","OH",3170,"2020-05-06"
"376","PUBL","N","TX",8818,"2020-05-06"
"377","PUBL","Y","IN",1084,"2020-05-06"
"378","PUBL","Y","OK",91,"2020-05-06"
"379","PUBL","Y","TX",586,"2020-05-06"
"380","PUBL","N","MS",645,"2020-05-06"
"381","PUBL","N","LA",837,"2020-05-06"
"382","PUBL","Y","RI",108,"2020-05-06"
"383","PUBL","N","NC",3159,"2020-05-06"
"384","PUBL","N","WY",444,"2020-05-06"
"385","PUBL","Y","CO",208,"2020-05-06"
"386","PUBL","N","OR",924,"2020-05-06"
"387","PUBL","Y","FL",371,"2020-05-06"
"388","PUBL",NA,"RI",100,"2020-05-06"
"389","PUBL",NA,"LA",172,"2020-05-06"
"390","PUBL",NA,"IN",525,"2020-05-06"
"391","PUBL",NA,"TX",1104,"2020-05-06"
"392","PUBL",NA,"MA",879,"2020-05-06"
"393","PUBL",NA,"NH",273,"2020-05-06"
"394","PUBL",NA,"WY",58,"2020-05-06"
"395","PUBL",NA,"OR",172,"2020-05-06"
"396","PUBL",NA,"ND",45,"2020-05-06"
"397","PUBL","N","VI",1,"2020-05-06"
"398","PUBL","N","KS",1482,"2020-05-06"
"399","PUBL","Y","NH",209,"2020-05-04"
"400","PUBL","Y","CA",1238,"2020-05-04"
"401","PUBL","Y","AK",37,"2020-05-04"
"402","PUBL","Y","AZ",102,"2020-05-04"
"403","PUBL","Y","WY",21,"2020-05-04"
"404","PUBL","N","TEX",1,"2020-05-04"
"405","PUBL",NA,"CA",1180,"2020-05-04"
"406","PUBL",NA,"WI",706,"2020-05-04"
"407","PUBL",NA,"HI",70,"2020-05-04"
"408","PUBL",NA,"SD",34,"2020-05-04"
"409","PUBL","N","AE",1,"2020-05-04"
"410","PUBL","Y","IL",1726,"2020-05-04"
"411","PUBL","Y","MI",831,"2020-05-04"
"412","PUBL","N","IN",2319,"2020-05-04"
"413","PUBL","N","NY",9542,"2020-05-04"
"414","PUBL","N","WV",476,"2020-05-04"
"415","PUBL","N","DC",564,"2020-05-04"
"416","PUBL","Y","SC",167,"2020-05-04"
"417","PUBL","N","AR",676,"2020-05-04"
"418","PUBL","Y","GA",277,"2020-05-04"
"419","PUBL","Y","LA",152,"2020-05-04"
"420","PUBL","Y","NC",259,"2020-05-04"
"421","PUBL",NA,"PA",640,"2020-05-04"
